artist_id,artist_name,artist_display_name,artist_type,stage_name,num_performed_works,num_all_contributed_works,all_role_types,primary_genre,all_performance_genres,first_performance_year,last_performance_year,career_span_years,num_notable_performed_works,performed_work_influence_received,is_oceanus_folk_artist
1843,Chao Tan,Chao Tan,Person,,5,5,PerformerOf,Oceanus Folk,Indie Folk; Oceanus Folk,2010,2023,13,5,157,True
2850,Min Fu,Min Fu,Person,,8,10,LyricistOf; PerformerOf,Dream Pop,Doom Metal; Dream Pop; Indie Folk; Indie Rock; Lo-Fi Electronica,1997,2029,32,8,154,False
9231,Brett Brown,Brett Brown,Person,,3,4,LyricistOf; PerformerOf,Doom Metal,Doom Metal; Post-Apocalyptic Folk; Symphonic Metal,1997,2024,27,3,143,False
909,Min Tao,Min Tao,Person,,3,4,PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Folk,2010,2029,19,3,142,False
5187,Guiying Cai,Guiying Cai,Person,,3,3,PerformerOf,Doom Metal,Doom Metal; Dream Pop,2004,2018,14,3,119,False
1716,Kimberly Snyder,Slate,Person, Slate,22,29,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Rock; Post-Apocalyptic Folk; Space Rock; Symphonic Metal; Synthwave,2016,2029,13,20,112,False
2070,Jay Walters,Jay Walters,Person,,16,37,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Southern Gothic Rock,Alternative Rock; Indie Pop; Southern Gothic Rock,1984,2021,37,16,84,False
1294,Urszula Stochmal,Urszula Stochmal,Person,,15,18,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Southern Gothic Rock,Indie Pop; Southern Gothic Rock,1987,2017,30,15,81,False
1079,Qiang Yuan,Qiang Yuan,Person,,3,5,ComposerOf; LyricistOf; PerformerOf,Dream Pop,Doom Metal; Dream Pop,2004,2025,21,3,75,False
16744,Quattro Voci,Quattro Voci,MusicalGroup,,16,23,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Southern Gothic Rock,Alternative Rock; Emo/Pop Punk; Indie Pop; Southern Gothic Rock,1984,2030,46,16,69,False
16746,Arctic Scholars,Arctic Scholars,MusicalGroup,,9,10,ComposerOf; PerformerOf; ProducerOf,Indie Rock,Indie Rock; Lo-Fi Electronica,2006,2020,14,8,68,False
30,Megan Bennett,Megan Bennett,Person,,15,21,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Speed Metal,Alternative Rock; Indie Pop; Southern Gothic Rock; Speed Metal,1985,2030,45,15,66,False
2069,Andrew Williams,Andrew Williams,Person,,12,23,ComposerOf; LyricistOf; PerformerOf,Southern Gothic Rock,Emo/Pop Punk; Indie Pop; Southern Gothic Rock,1994,2026,32,12,59,False
551,Szymon Pyć,Szymon Pyć,Person,,20,26,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Southern Gothic Rock,Blues Rock; Emo/Pop Punk; Indie Pop; Southern Gothic Rock,1987,2027,40,20,57,False
878,Jing Kang,Jing Kang,Person,,8,18,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Indie Rock,Indie Rock; Lo-Fi Electronica,2007,2029,22,7,57,False
1719,Gerald Mullins,Gerald Mullins,Person,,14,16,PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Rock; Post-Apocalyptic Folk; Space Rock; Symphonic Metal; Synthwave,2017,2029,12,12,56,False
828,Ming Sun,Ming Sun,Person,,2,5,ComposerOf; LyricistOf; PerformerOf,Lo-Fi Electronica,Lo-Fi Electronica,2006,2011,5,2,49,False
8248,Rachel Jackson,Rachel Jackson,Person,,8,8,PerformerOf,Dream Pop,Dream Pop; Space Rock; Synthwave,2017,2028,11,8,47,False
16745,Sonic Renegade,Sonic Renegade,MusicalGroup,,12,16,ComposerOf; LyricistOf; PerformerOf,Dream Pop,Dream Pop; Indie Rock; Post-Apocalyptic Folk; Space Rock; Symphonic Metal; Synthwave,2017,2029,12,10,46,False
5186,Ante Reinhardt-Hande,Ante Reinhardt-Hande,Person,,3,4,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Dream Pop; Indie Folk,2007,2020,13,3,46,False
5479,Susan Edwards,Susan Edwards,Person,,3,3,PerformerOf,Americana,Americana; Doom Metal; Indie Folk,2013,2029,16,3,46,False
16926,Brüderklang,Brüderklang,MusicalGroup,,2,3,PerformerOf; ProducerOf,Doom Metal,Doom Metal; Dream Pop,2007,2018,11,2,46,False
1098,Guiying Bai,Guiying Bai,Person,,14,15,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Emo/Pop Punk,Blues Rock; Emo/Pop Punk; Southern Gothic Rock,2002,2029,27,13,44,False
305,Bekir Bruder,Bekir Bruder,Person,,8,14,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Indie Folk; Symphonic Metal,2007,2023,16,8,44,False
440,Gang Cui,Gang Cui,Person,,5,5,PerformerOf; ProducerOf,Dream Pop,Doom Metal; Dream Pop; Jazz Surf Rock; Synthwave,2010,2019,9,5,44,False
443,Guiying Qin,Guiying Qin,Person,,5,5,ComposerOf; PerformerOf,Dream Pop,Doom Metal; Dream Pop; Jazz Surf Rock; Synthwave,2010,2019,9,5,44,False
968,Ping Bai,Ping Bai,Person,,4,5,ComposerOf; LyricistOf; PerformerOf,Lo-Fi Electronica,Lo-Fi Electronica,2003,2018,15,4,44,False
1952,Yang Wan,Yang Wan,Person,,16,23,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Indie Folk,Dream Pop; Indie Folk; Oceanus Folk; Psychedelic Rock; Space Rock; Synthwave,1994,2027,33,16,43,True
4783,Qiang Lei,Qiang Lei,Person,,4,8,ComposerOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Lo-Fi Electronica,2002,2013,11,4,43,False
617,Tao Yang,Tao Yang,Person,,11,13,ComposerOf; LyricistOf; PerformerOf,Indie Folk,Dream Pop; Indie Folk; Synthwave,1994,2029,35,10,42,False
1718,Joshua Herring,Joshua Herring,Person,,10,14,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Rock; Space Rock; Symphonic Metal; Synthwave,2018,2029,11,10,42,False
303,Corinna Gute,Corinna Gute,Person,,8,11,LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Indie Folk; Psychedelic Rock; Symphonic Metal; Synthwave,2007,2027,20,8,42,False
8250,John Anderson,John Anderson,Person,,7,8,LyricistOf; PerformerOf,Dream Pop,Dream Pop; Post-Apocalyptic Folk; Space Rock; Synthwave,2017,2029,12,6,42,False
2659,Matthew Hancock,Lunar Tapestry,Person,Lunar Tapestry,13,21,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Alternative Rock; Dream Pop; Jazz Surf Rock,1997,2015,18,13,39,False
2538,Angelika Osojca,Angelika Osojca,Person,,15,28,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Avant-Garde Folk; Indie Pop; Lo-Fi Electronica; Southern Gothic Rock,2007,2025,18,14,38,False
1858,Li Lu,Li Lu,Person,,5,10,ComposerOf; LyricistOf; PerformerOf,Indie Rock,Indie Rock; Lo-Fi Electronica,2006,2020,14,5,37,False
4729,Ming Jiang,Ming Jiang,Person,,3,3,LyricistOf; PerformerOf,Desert Rock,Desert Rock; Doom Metal; Indie Folk,2017,2020,3,3,37,False
4730,Gang Peng,Gang Peng,Person,,3,3,PerformerOf; ProducerOf,Desert Rock,Desert Rock; Doom Metal; Indie Folk,2017,2020,3,3,37,False
4731,Li Duan,Li Duan,Person,,3,3,ComposerOf; PerformerOf,Desert Rock,Desert Rock; Doom Metal; Indie Folk,2017,2020,3,3,37,False
2207,Brian Wright,Brian Wright,Person,,12,15,ComposerOf; LyricistOf; PerformerOf,Speed Metal,Alternative Rock; Avant-Garde Folk; Southern Gothic Rock; Speed Metal,1987,2030,43,12,36,False
12592,Clémence Vincent,Clémence Vincent,Person,,3,3,PerformerOf,Doom Metal,Doom Metal; Synthwave,2010,2020,10,3,35,False
2668,Ping Tian,Ping Tian,Person,,17,25,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Alternative Rock; Avant-Garde Folk; Blues Rock; Indie Pop; Lo-Fi Electronica; Southern Gothic Rock,1997,2025,28,16,34,False
697,Yong Zheng,Yong Zheng,Person,,12,20,ComposerOf; PerformerOf; ProducerOf,Avant-Garde Folk,Alternative Rock; Avant-Garde Folk; Blues Rock; Emo/Pop Punk,2004,2029,25,11,34,False
934,Jun Zhou,Jun Zhou,Person,,6,6,ComposerOf; PerformerOf,Dream Pop,Americana; Dream Pop; Synthwave,1994,2030,36,5,34,False
7279,Keith Larsen,Keith Larsen,Person,,3,3,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Rock; Synthwave,2022,2029,7,3,34,False
172,Lei Liao,Lei Liao,Person,,9,9,LyricistOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Alternative Rock; Avant-Garde Folk; Lo-Fi Electronica,1997,2026,29,8,33,False
250,Mareen Schacht,Mareen Schacht,Person,,8,13,LyricistOf; PerformerOf; ProducerOf,Emo/Pop Punk,Avant-Garde Folk; Emo/Pop Punk; Indie Pop; Southern Gothic Rock,1984,2023,39,8,33,False
1335,Ming Long,Ming Long,Person,,8,8,ComposerOf; PerformerOf; ProducerOf,Jazz Surf Rock,Jazz Surf Rock; Synthwave,1998,2015,17,8,33,False
2110,Catherine Clay,Catherine Clay,Person,,12,22,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Alternative Rock; Dream Pop; Indie Rock; Synthwave,1984,2020,36,11,32,False
1918,Kelly Stewart,Kelly Stewart,Person,,8,10,PerformerOf; ProducerOf,Synthwave,Dream Pop; Indie Rock; Post-Apocalyptic Folk; Space Rock; Synthwave,2019,2029,10,6,32,False
4287,Kashvi Dhillon,Kashvi Dhillon,Person,,8,8,ComposerOf; PerformerOf,Dream Pop,Dream Pop,2006,2018,12,7,32,False
3504,Zacharie Martins,Zacharie Martins,Person,,7,8,ComposerOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Indie Folk; Oceanus Folk,2007,2027,20,7,32,True
457,Min Cao,Min Cao,Person,,6,7,LyricistOf; PerformerOf; ProducerOf,Synthwave,Dream Pop; Indie Folk; Synthwave,1998,2021,23,6,32,False
2511,Kavya Agrawal,Kavya Agrawal,Person,,3,3,PerformerOf; ProducerOf,Dream Pop,Dream Pop,1981,2004,23,3,32,False
4007,John Ramirez,John Ramirez,Person,,3,4,ComposerOf; LyricistOf; PerformerOf,Lo-Fi Electronica,Indie Rock; Lo-Fi Electronica,2007,2017,10,2,32,False
1530,Deborah Lucas,Deborah Lucas,Person,,10,15,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Southern Gothic Rock,Avant-Garde Folk; Emo/Pop Punk; Indie Pop; Southern Gothic Rock,1984,2029,45,10,31,False
4412,Yuta Tanaka,Yuta Tanaka,Person,,9,11,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Southern Gothic Rock,Alternative Rock; Blues Rock; Indie Pop; Southern Gothic Rock,1991,2026,35,9,31,False
5213,Samantha Bullock,Samantha Bullock,Person,,8,8,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Indie Pop,Alternative Rock; Avant-Garde Folk; Blues Rock; Indie Pop; Southern Gothic Rock,1983,2030,47,8,31,False
4732,Jun Jia,Jun Jia,Person,,2,3,ComposerOf; PerformerOf,Doom Metal,Doom Metal; Indie Folk,2017,2020,3,2,31,False
