edge_type,role_group,source_id,source_name,source_display_name,source_type,work_id,work_name,work_type,work_genre,work_release_year
PerformerOf,contributor,15880,Jun Peng,Jun Peng,Person,15877,Psychoanalytic Desire,Song,Synthwave,1975
PerformerOf,contributor,15878,Ming Xie,Ming Xie,Person,15877,Psychoanalytic Desire,Song,Synthwave,1975
PerformerOf,contributor,4450,Ping Jiang,Ping Jiang,Person,15877,Psychoanalytic Desire,Song,Synthwave,1975
PerformerOf,contributor,15879,Wei Su,Wei Su,Person,15877,Psychoanalytic Desire,Song,Synthwave,1975
PerformerOf,contributor,4449,Yang Mo,Yang Mo,Person,15877,Psychoanalytic Desire,Song,Synthwave,1975
ProducerOf,contributor,15878,Ming Xie,Ming Xie,Person,15877,Psychoanalytic Desire,Song,Synthwave,1975
ComposerOf,contributor,17165,Finn McGraw,Finn McGraw,Person,17168,Tales from the Briny Deep,Album,Sea Shanties,1975
ComposerOf,contributor,17166,William Tidewell,William Tidewell,Person,17168,Tales from the Briny Deep,Album,Sea Shanties,1975
LyricistOf,contributor,17164,Rusty Riggins,Rusty Riggins,Person,17168,Tales from the Briny Deep,Album,Sea Shanties,1975
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17168,Tales from the Briny Deep,Album,Sea Shanties,1975
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17168,Tales from the Briny Deep,Album,Sea Shanties,1975
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17172,"Heave Away, My Lads",Song,Sea Shanties,1975
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17173,The Mermaid's Random,Song,Sea Shanties,1975
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17174,Bones in the Sand,Song,Sea Shanties,1975
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17175,Sing for the Drowned,Song,Sea Shanties,1975
ComposerOf,contributor,17165,Finn McGraw,Finn McGraw,Person,17169,Rum & Reckoning,Album,Sea Shanties,1977
ComposerOf,contributor,17166,William Tidewell,William Tidewell,Person,17169,Rum & Reckoning,Album,Sea Shanties,1977
LyricistOf,contributor,17164,Rusty Riggins,Rusty Riggins,Person,17169,Rum & Reckoning,Album,Sea Shanties,1977
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17169,Rum & Reckoning,Album,Sea Shanties,1977
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17169,Rum & Reckoning,Album,Sea Shanties,1977
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17176,"Brass Compass, Broken Oath",Song,Sea Shanties,1977
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17177,Fire in the Hold,Song,Sea Shanties,1977
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17178,Blood in the Brine,Song,Sea Shanties,1977
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17179,Rum for the Dead,Song,Sea Shanties,1977
ComposerOf,contributor,17165,Finn McGraw,Finn McGraw,Person,17170,Sailors & Ghosts,Album,Sea Shanties,1979
ComposerOf,contributor,17166,William Tidewell,William Tidewell,Person,17170,Sailors & Ghosts,Album,Sea Shanties,1979
LyricistOf,contributor,17164,Rusty Riggins,Rusty Riggins,Person,17170,Sailors & Ghosts,Album,Sea Shanties,1979
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17170,Sailors & Ghosts,Album,Sea Shanties,1979
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17170,Sailors & Ghosts,Album,Sea Shanties,1979
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17180,Bound for No Return,Song,Sea Shanties,1979
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17181,The Gallows Tide,Song,Sea Shanties,1979
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17182,Three Fathoms Down,Song,Sea Shanties,1979
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17183,Port Royal Nights,Song,Sea Shanties,1979
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17184,The Bell That Never Rings,Song,Sea Shanties,1979
ComposerOf,contributor,17190,Astrid Nørgaard,Astrid Nørgaard,Person,17193,Echoes of the Old Way,Album,Celtic Folk,1980
ComposerOf,contributor,17191,Freya Lindholm,Freya Lindholm,Person,17193,Echoes of the Old Way,Album,Celtic Folk,1980
