influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year
InterpolatesFrom,5802,Tribal Waters,Tribal Waters,Song,Indie Pop,1984,6674,Närma dig friden (Approach the Peace),Närma dig friden (Approach the Peace),Song,Blues Rock,1984
CoverOf,14124,Welded Dreams,Welded Dreams,Song,Indie Rock,1986,9048,Crossroads at Sunset,Crossroads at Sunset,Song,Indie Rock,1984
InStyleOf,13236,Curiosity's Blind Spot,Curiosity's Blind Spot,Song,Blues Rock,1987,9382,Eternal Chairman's March,Eternal Chairman's March,Song,Southern Gothic Rock,1984
InterpolatesFrom,2927,Sacred Invocation,Sacred Invocation,Song,Southern Gothic Rock,1987,6674,Närma dig friden (Approach the Peace),Närma dig friden (Approach the Peace),Song,Blues Rock,1984
LyricalReferenceTo,7036,Voz Sin Eco,Voz Sin Eco,Song,Indie Pop,1987,2807,Roadmap to Nowhere,Roadmap to Nowhere,Song,Blues Rock,1984
InStyleOf,6315,Iris to Iris,Iris to Iris,Song,Emo/Pop Punk,1987,1955,Prayers for the Crown,Prayers for the Crown,Song,Emo/Pop Punk,1985
InStyleOf,4932,Harmony in the Alleyway,Harmony in the Alleyway,Album,Speed Metal,1987,15047,The Last Frame of Pola,The Last Frame of Pola,Song,Southern Gothic Rock,1986
CoverOf,2927,Sacred Invocation,Sacred Invocation,Song,Southern Gothic Rock,1987,11172,The Calm Chorus,The Calm Chorus,Song,Southern Gothic Rock,1989
DirectlySamples,7389,Empathy's Embrace,Empathy's Embrace,Song,Blues Rock,1989,7671,Champagne and Sunshine,Champagne and Sunshine,Song,Alternative Rock,1983
InStyleOf,1388,Divine Compassion's Embrace,Divine Compassion's Embrace,Album,Indie Folk,1989,7026,Reflejo Interior,Reflejo Interior,Song,Americana,1983
LyricalReferenceTo,9895,Sunbeam Stillness,Sunbeam Stillness,Song,Synthwave,1989,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
CoverOf,6245,Andante in Amber,Andante in Amber,Song,Emo/Pop Punk,1989,1955,Prayers for the Crown,Prayers for the Crown,Song,Emo/Pop Punk,1985
CoverOf,8230,Echoes of the Plateau,Echoes of the Plateau,Song,Emo/Pop Punk,1989,1955,Prayers for the Crown,Prayers for the Crown,Song,Emo/Pop Punk,1985
InStyleOf,7574,Braided Stories,Braided Stories,Song,Speed Metal,1989,15047,The Last Frame of Pola,The Last Frame of Pola,Song,Southern Gothic Rock,1986
InStyleOf,6245,Andante in Amber,Andante in Amber,Song,Emo/Pop Punk,1989,6315,Iris to Iris,Iris to Iris,Song,Emo/Pop Punk,1987
LyricalReferenceTo,1117,Turning Point,Turning Point,Song,Alternative Rock,1989,12997,Soul's Deep Cleansing Altar,Soul's Deep Cleansing Altar,Song,Alternative Rock,1987
LyricalReferenceTo,6245,Andante in Amber,Andante in Amber,Song,Emo/Pop Punk,1989,3779,"Broken Wings, Brave Heart","Broken Wings, Brave Heart",Song,Blues Rock,1987
LyricalReferenceTo,7574,Braided Stories,Braided Stories,Song,Speed Metal,1989,4932,Harmony in the Alleyway,Harmony in the Alleyway,Album,Speed Metal,1987
LyricalReferenceTo,8230,Echoes of the Plateau,Echoes of the Plateau,Song,Emo/Pop Punk,1989,6315,Iris to Iris,Iris to Iris,Song,Emo/Pop Punk,1987
DirectlySamples,6028,Vocal Liberation,Vocal Liberation,Album,Alternative Rock,1990,6363,Cascading Tenderness,Cascading Tenderness,Song,Dream Pop,1984
LyricalReferenceTo,2174,"Crimson Signal, Silent Warning","Crimson Signal, Silent Warning",Song,Indie Pop,1990,1412,Miles Beyond Yesterday,Miles Beyond Yesterday,Song,Indie Pop,1984
LyricalReferenceTo,8075,Catch Her Eye,Catch Her Eye,Album,Blues Rock,1990,3743,Denim Diary,Denim Diary,Song,Southern Gothic Rock,1985
InStyleOf,1375,Manchurian Requiem,Manchurian Requiem,Song,Synthwave,1990,9388,Revolutionary Heartbeat of the Fatherland,Revolutionary Heartbeat of the Fatherland,Song,Doom Metal,1987
InterpolatesFrom,1113,One More Roll,One More Roll,Album,Americana,1991,7026,Reflejo Interior,Reflejo Interior,Song,Americana,1983
InStyleOf,8758,Gaby's Lament,Gaby's Lament,Album,Dream Pop,1991,13960,Whispers Beyond the Apocalypse,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
InStyleOf,12039,Tiny Spark of Desire,Tiny Spark of Desire,Album,Alternative Rock,1991,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
LyricalReferenceTo,10114,The Open Entrance,The Open Entrance,Song,Indie Folk,1991,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
LyricalReferenceTo,10226,Echoes of the Distant Shore,Echoes of the Distant Shore,Song,Indie Folk,1991,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
CoverOf,8832,Lunar Lunar Thirty,Lunar Lunar Thirty,Album,Indie Pop,1991,3740,The Quantum of Affection,The Quantum of Affection,Song,Indie Pop,1985
InStyleOf,4335,Žhavé ticho mezi námi,Žhavé ticho mezi námi,Song,Southern Gothic Rock,1991,14927,Tailored Silence,Tailored Silence,Song,Southern Gothic Rock,1985
InStyleOf,10226,Echoes of the Distant Shore,Echoes of the Distant Shore,Song,Indie Folk,1991,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
DirectlySamples,10935,Fragments of a Forgotten Signal,Fragments of a Forgotten Signal,Song,Psychedelic Rock,1991,1935,Solitary Stride,Solitary Stride,Song,Psychedelic Rock,1986
CoverOf,4204,Crimson Revival,Crimson Revival,Song,Blues Rock,1991,13236,Curiosity's Blind Spot,Curiosity's Blind Spot,Song,Blues Rock,1987
InterpolatesFrom,10513,Silent Observer,Silent Observer,Song,Blues Rock,1991,15578,Nordic Passions Unfolding,Nordic Passions Unfolding,Song,Indie Pop,1987
InterpolatesFrom,15108,Restless Rhythm,Restless Rhythm,Song,Dream Pop,1991,14997,Hey Hey Hey,Hey Hey Hey,Song,Dream Pop,1987
LyricalReferenceTo,10388,Chalk and Verses,Chalk and Verses,Song,Doom Metal,1991,11210,Scholarly Revelry,Scholarly Revelry,Song,Doom Metal,1987
LyricalReferenceTo,10388,Chalk and Verses,Chalk and Verses,Song,Doom Metal,1991,14961,The Last Echo of Julie,The Last Echo of Julie,Song,Synthwave,1987
LyricalReferenceTo,14610,Denial's Embrace,Denial's Embrace,Song,Southern Gothic Rock,1991,3407,Splitting the Difference,Splitting the Difference,Song,Southern Gothic Rock,1987
CoverOf,11984,"Pilgrim Hearts, Rejoicing Night","Pilgrim Hearts, Rejoicing Night",Song,Blues Rock,1991,6245,Andante in Amber,Andante in Amber,Song,Emo/Pop Punk,1989
DirectlySamples,10388,Chalk and Verses,Chalk and Verses,Song,Doom Metal,1991,6461,Thoughts That Won't Let Go,Thoughts That Won't Let Go,Album,Synthwave,1990
InStyleOf,5787,Courage Stitched in Camouflage,Courage Stitched in Camouflage,Album,Synthwave,1991,4849,Keys to Heaven's Threshold,Keys to Heaven's Threshold,Album,Synthwave,1990
DirectlySamples,15833,Heartbeat Highway,Heartbeat Highway,Song,Indie Rock,1991,14464,Celestial Breath,Celestial Breath,Song,Doom Metal,1991
InterpolatesFrom,1213,Blossoming Crescendo,Blossoming Crescendo,Album,Dream Pop,1991,2182,Red Line Rebellion,Red Line Rebellion,Song,Dream Pop,1991
InterpolatesFrom,11303,Inverted Lasso,Inverted Lasso,Song,Dream Pop,1991,15290,Mutual Understanding,Mutual Understanding,Song,Dream Pop,1991
