Direction,Influence_Type,OF_Song,OF_Song_Year,OF_Artist,Other_Song,Other_Genre,Other_Year,Other_Artist
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Radiant Dreams,Indie Folk,2017,"Tao Wei, Wei Wu"
OF Influenced Others,DirectlySamples,Wings of the Southern Cross,2024,"Chao Xiao, Fang Duan, Qiang Xie, Wei Lai, Yong Dai",Roadmap to Your Heart,Space Rock,2027,"Lei Fu, Wei Gao"
OF Influenced Others,DirectlySamples,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Roadmap to Your Heart,Space Rock,2027,"Lei Fu, Wei Gao"
OF Influenced Others,CoverOf,Crimson Ledger of the Desert Riders,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He",Roadmap to Your Heart,Space Rock,2027,"Lei Fu, Wei Gao"
OF Influenced Others,LyricalReferenceTo,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Waiting for Steven,Indie Folk,2028,"Mary Harris, Ping He, Ping Wei, Ping Xie, Tanya Webb, Xia Ye"
OF Influenced Others,InStyleOf,Fragments of Consciousness,2014,"Alphons Donati-Pederiva, Augusto Villaverde Armengol, Feliciano Pizarro Moll, Filippo Pelli, Interval Shift, Martino Michelangeli",Ethereal Wanderer,Oceanus Folk,2023,"Kimaya Srinivasan, Ryan Devan, Tara Kota, Tiya Sani"
OF Influenced Others,InStyleOf,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Mirage of Memories,Oceanus Folk,2023,"Brandy Reyes, Laura Gibbs, Mary Medina, Raymond Mccoy, Rhonda Brown"
OF Influenced Others,InterpolatesFrom,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Liminal Passage,Indie Folk,2027,"Gang Su, Na Wu, Qiang Qian"
OF Influenced Others,CoverOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Behind the Picture Glass,Synthwave,2026,"Gang Zhou, Tao Mo, Xiulan Gong"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Behind the Picture Glass,Synthwave,2026,"Gang Zhou, Tao Mo, Xiulan Gong"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Leather Skin Confession,Oceanus Folk,2022,Xiulan Hao
