direction,influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year,other_genre
OF -> OF,InStyleOf,16133,Devotion's Horizon,Devotion's Horizon,Song,Oceanus Folk,2004,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InStyleOf,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InStyleOf,15994,Mercy's Infinite Echo,Mercy's Infinite Echo,Song,Oceanus Folk,2007,4348,Hysterical Revenge,Hysterical Revenge,Song,Oceanus Folk,2004,
OF -> OF,InStyleOf,8148,Shadows in Sleep,Shadows in Sleep,Song,Oceanus Folk,2009,2691,Mythical Mane,Mythical Mane,Album,Oceanus Folk,1992,
OF -> OF,CoverOf,5100,Sylvan Bride's Lament,Sylvan Bride's Lament,Song,Oceanus Folk,2010,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,CoverOf,6752,Soft Collisions,Soft Collisions,Song,Oceanus Folk,2010,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InterpolatesFrom,5100,Sylvan Bride's Lament,Sylvan Bride's Lament,Song,Oceanus Folk,2010,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InterpolatesFrom,6752,Soft Collisions,Soft Collisions,Song,Oceanus Folk,2010,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InStyleOf,8233,Roots and Winds of Departure,Roots and Winds of Departure,Song,Oceanus Folk,2010,15994,Mercy's Infinite Echo,Mercy's Infinite Echo,Song,Oceanus Folk,2007,
OF -> OF,CoverOf,10318,Roadside Memories,Roadside Memories,Song,Oceanus Folk,2010,13965,The Last Goodbye's Farewell,The Last Goodbye's Farewell,Song,Oceanus Folk,2007,
OF -> OF,InStyleOf,15481,Whispers in the Silence,Whispers in the Silence,Song,Oceanus Folk,2013,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InterpolatesFrom,9158,The Timing is Now,The Timing is Now,Song,Oceanus Folk,2013,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,DirectlySamples,9685,Earthsong Eternal,Earthsong Eternal,Song,Oceanus Folk,2013,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InStyleOf,8079,Glance My Way,Glance My Way,Song,Oceanus Folk,2013,12332,Whispers in Maria's Slumber,Whispers in Maria's Slumber,Song,Oceanus Folk,2010,
OF -> OF,CoverOf,9158,The Timing is Now,The Timing is Now,Song,Oceanus Folk,2013,6752,Soft Collisions,Soft Collisions,Song,Oceanus Folk,2010,
OF -> OF,LyricalReferenceTo,13431,Constellation of Us,Constellation of Us,Song,Oceanus Folk,2013,15646,Motherland's Golden Horizon,Motherland's Golden Horizon,Song,Oceanus Folk,2010,
OF -> OF,InStyleOf,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InterpolatesFrom,5457,Six Feet From You,Six Feet From You,Song,Oceanus Folk,2017,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InterpolatesFrom,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,CoverOf,13530,Fireworks and Freedom,Fireworks and Freedom,Song,Oceanus Folk,2017,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,LyricalReferenceTo,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017,11836,Unwritten Lines Between Shadows,Unwritten Lines Between Shadows,Album,Oceanus Folk,2010,
OF -> OF,InterpolatesFrom,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,InStyleOf,12691,Winds of the Basque Shore,Winds of the Basque Shore,Album,Oceanus Folk,2017,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,InStyleOf,13530,Fireworks and Freedom,Fireworks and Freedom,Song,Oceanus Folk,2017,6524,Tenement of Freedom,Tenement of Freedom,Song,Oceanus Folk,2014,
OF -> OF,InStyleOf,1859,Shadows of the Minor Scale,Shadows of the Minor Scale,Album,Oceanus Folk,2017,3730,First Breath of Desire,First Breath of Desire,Song,Oceanus Folk,2016,
OF -> OF,InStyleOf,13438,Whispers of Forever,Whispers of Forever,Song,Oceanus Folk,2019,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InStyleOf,13438,Whispers of Forever,Whispers of Forever,Song,Oceanus Folk,2019,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,DirectlySamples,14652,Alphabet Anarchy,Alphabet Anarchy,Song,Oceanus Folk,2020,2691,Mythical Mane,Mythical Mane,Album,Oceanus Folk,1992,
OF -> OF,CoverOf,11797,Broker's Burden,Broker's Burden,Song,Oceanus Folk,2020,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,LyricalReferenceTo,16276,Perimeter,Perimeter,Song,Oceanus Folk,2020,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,CoverOf,14652,Alphabet Anarchy,Alphabet Anarchy,Song,Oceanus Folk,2020,8148,Shadows in Sleep,Shadows in Sleep,Song,Oceanus Folk,2009,
OF -> OF,InStyleOf,16276,Perimeter,Perimeter,Song,Oceanus Folk,2020,11485,Eternal Connection,Eternal Connection,Album,Oceanus Folk,2010,
OF -> OF,CoverOf,3037,Visions Beyond the Horizon,Visions Beyond the Horizon,Song,Oceanus Folk,2020,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,LyricalReferenceTo,3909,Everything's Alright,Everything's Alright,Song,Oceanus Folk,2020,9096,Grip and Grace,Grip and Grace,Song,Oceanus Folk,2017,
OF -> OF,CoverOf,3909,Everything's Alright,Everything's Alright,Song,Oceanus Folk,2020,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,DirectlySamples,8153,Restless Phantoms,Restless Phantoms,Song,Oceanus Folk,2020,15441,Choreography of Forbidden Passion,Choreography of Forbidden Passion,Song,Oceanus Folk,2017,
OF -> OF,CoverOf,8881,Shylock's Shadows,Shylock's Shadows,Song,Oceanus Folk,2020,9096,Grip and Grace,Grip and Grace,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,7525,Nishadpati's Lament,Nishadpati's Lament,Song,Oceanus Folk,2021,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InStyleOf,16457,Manger's Midnight,Manger's Midnight,Song,Oceanus Folk,2021,9685,Earthsong Eternal,Earthsong Eternal,Song,Oceanus Folk,2013,
OF -> OF,InStyleOf,7224,Postcards from Julianne's Heart,Postcards from Julianne's Heart,Song,Oceanus Folk,2022,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InterpolatesFrom,5730,Wayward Journey,Wayward Journey,Album,Oceanus Folk,2022,9685,Earthsong Eternal,Earthsong Eternal,Song,Oceanus Folk,2013,
OF -> OF,InStyleOf,1253,Leather Skin Confession,Leather Skin Confession,Song,Oceanus Folk,2022,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,15812,Elevation of Desire,Elevation of Desire,Song,Oceanus Folk,2023,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,LyricalReferenceTo,6941,Echoes of Devotion,Echoes of Devotion,Song,Oceanus Folk,2023,15032,Wavelengths of Lingering Queries,Wavelengths of Lingering Queries,Song,Oceanus Folk,2009,
OF -> OF,LyricalReferenceTo,3367,Courage in Quiet Moments,Courage in Quiet Moments,Song,Oceanus Folk,2023,6752,Soft Collisions,Soft Collisions,Song,Oceanus Folk,2010,
OF -> OF,InStyleOf,15027,Fragments of Unresolved Dialogues,Fragments of Unresolved Dialogues,Album,Oceanus Folk,2023,15646,Motherland's Golden Horizon,Motherland's Golden Horizon,Song,Oceanus Folk,2010,
OF -> OF,InterpolatesFrom,15812,Elevation of Desire,Elevation of Desire,Song,Oceanus Folk,2023,6752,Soft Collisions,Soft Collisions,Song,Oceanus Folk,2010,
OF -> OF,DirectlySamples,1489,Perfection's Reflection,Perfection's Reflection,Song,Oceanus Folk,2023,6611,Completely Crazy (About You),Completely Crazy (About You),Song,Oceanus Folk,2013,
OF -> OF,CoverOf,6170,Twilight's Gentle Whisper,Twilight's Gentle Whisper,Song,Oceanus Folk,2023,9685,Earthsong Eternal,Earthsong Eternal,Song,Oceanus Folk,2013,
OF -> OF,InterpolatesFrom,11978,Sparks Unbound,Sparks Unbound,Song,Oceanus Folk,2023,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,InterpolatesFrom,14720,Crimson Ledger of the Desert Riders,Crimson Ledger of the Desert Riders,Song,Oceanus Folk,2023,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,DirectlySamples,15954,Inches Apart,Inches Apart,Song,Oceanus Folk,2023,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,InStyleOf,720,Ethereal Wanderer,Ethereal Wanderer,Song,Oceanus Folk,2023,9709,Fragments of Consciousness,Fragments of Consciousness,Song,Oceanus Folk,2014,
OF -> OF,InStyleOf,6941,Echoes of Devotion,Echoes of Devotion,Song,Oceanus Folk,2023,6524,Tenement of Freedom,Tenement of Freedom,Song,Oceanus Folk,2014,
OF -> OF,InStyleOf,8557,Blank Slate Boulevard,Blank Slate Boulevard,Song,Oceanus Folk,2023,6524,Tenement of Freedom,Tenement of Freedom,Song,Oceanus Folk,2014,
OF -> OF,InStyleOf,757,Mirage of Memories,Mirage of Memories,Song,Oceanus Folk,2023,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,6170,Twilight's Gentle Whisper,Twilight's Gentle Whisper,Song,Oceanus Folk,2023,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,CoverOf,7019,Counterpoint's Silent Serenade,Counterpoint's Silent Serenade,Song,Oceanus Folk,2023,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,7180,Aviator's First Dance,Aviator's First Dance,Song,Oceanus Folk,2023,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,7235,The Last Letter to Julianne,The Last Letter to Julianne,Song,Oceanus Folk,2023,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,9571,Echoes of the Sámi Horizon,Echoes of the Sámi Horizon,Song,Oceanus Folk,2023,9096,Grip and Grace,Grip and Grace,Song,Oceanus Folk,2017,
OF -> OF,DirectlySamples,11567,Wild Tonight,Wild Tonight,Song,Oceanus Folk,2023,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,CoverOf,15017,Echoes of the Puszta: Chamber Variations,Echoes of the Puszta: Chamber Variations,Song,Oceanus Folk,2023,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,LyricalReferenceTo,15027,Fragments of Unresolved Dialogues,Fragments of Unresolved Dialogues,Album,Oceanus Folk,2023,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,16400,Aquatic Rebirth (1983),Aquatic Rebirth (1983),Song,Oceanus Folk,2023,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,16582,Drowning in Denial,Drowning in Denial,Song,Oceanus Folk,2023,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017,
OF -> OF,LyricalReferenceTo,15415,Pale Light of Farewell,Pale Light of Farewell,Song,Oceanus Folk,2023,13438,Whispers of Forever,Whispers of Forever,Song,Oceanus Folk,2019,
OF -> OF,InStyleOf,1489,Perfection's Reflection,Perfection's Reflection,Song,Oceanus Folk,2023,16457,Manger's Midnight,Manger's Midnight,Song,Oceanus Folk,2021,
OF -> OF,InterpolatesFrom,15571,The Ballad of Kristian's Heart,The Ballad of Kristian's Heart,Song,Oceanus Folk,2023,16457,Manger's Midnight,Manger's Midnight,Song,Oceanus Folk,2021,
OF -> OF,CoverOf,1435,Luminous Beam,Luminous Beam,Song,Oceanus Folk,2023,3520,Aerial Conquistadors,Aerial Conquistadors,Song,Oceanus Folk,2026,
OF -> OF,InterpolatesFrom,12067,Fragments of Friendship,Fragments of Friendship,Song,Oceanus Folk,2024,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,InStyleOf,7982,Twelve Months of You,Twelve Months of You,Song,Oceanus Folk,2024,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InStyleOf,12362,Dust and Spurs,Dust and Spurs,Album,Oceanus Folk,2024,12332,Whispers in Maria's Slumber,Whispers in Maria's Slumber,Song,Oceanus Folk,2010,
OF -> OF,DirectlySamples,7982,Twelve Months of You,Twelve Months of You,Song,Oceanus Folk,2024,6524,Tenement of Freedom,Tenement of Freedom,Song,Oceanus Folk,2014,
OF -> OF,CoverOf,12067,Fragments of Friendship,Fragments of Friendship,Song,Oceanus Folk,2024,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,13538,Summer of '76,Summer of '76,Song,Oceanus Folk,2024,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,13538,Summer of '76,Summer of '76,Song,Oceanus Folk,2024,6818,Paradise Parallel,Paradise Parallel,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,3711,Wings of the Southern Cross,Wings of the Southern Cross,Album,Oceanus Folk,2024,15973,When Angels Breathe,When Angels Breathe,Song,Oceanus Folk,2023,
OF -> OF,InStyleOf,14940,Faded Polaroids,Faded Polaroids,Song,Oceanus Folk,2025,8233,Roots and Winds of Departure,Roots and Winds of Departure,Song,Oceanus Folk,2010,
OF -> OF,CoverOf,3828,Fragments of Flight,Fragments of Flight,Album,Oceanus Folk,2025,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,InterpolatesFrom,8714,Luminous Silence,Luminous Silence,Song,Oceanus Folk,2025,6611,Completely Crazy (About You),Completely Crazy (About You),Song,Oceanus Folk,2013,
OF -> OF,LyricalReferenceTo,8714,Luminous Silence,Luminous Silence,Song,Oceanus Folk,2025,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,CoverOf,11515,Perfectly Plastic,Perfectly Plastic,Song,Oceanus Folk,2025,12270,Shadows of a Forgotten Name,Shadows of a Forgotten Name,Song,Oceanus Folk,2013,
OF -> OF,LyricalReferenceTo,14940,Faded Polaroids,Faded Polaroids,Song,Oceanus Folk,2025,3367,Courage in Quiet Moments,Courage in Quiet Moments,Song,Oceanus Folk,2023,
OF -> OF,InStyleOf,16192,The Question That Lingers,The Question That Lingers,Song,Oceanus Folk,2026,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InStyleOf,12882,Cardiac Whispers,Cardiac Whispers,Song,Oceanus Folk,2026,12332,Whispers in Maria's Slumber,Whispers in Maria's Slumber,Song,Oceanus Folk,2010,
OF -> OF,LyricalReferenceTo,13027,Shadows Beneath the Palm,Shadows Beneath the Palm,Song,Oceanus Folk,2026,8233,Roots and Winds of Departure,Roots and Winds of Departure,Song,Oceanus Folk,2010,
OF -> OF,InStyleOf,8858,Chromatic Reflections on a Theme,Chromatic Reflections on a Theme,Song,Oceanus Folk,2026,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,LyricalReferenceTo,10426,Somewhere Between Somewhere,Somewhere Between Somewhere,Song,Oceanus Folk,2026,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
