Source,Target,EdgeType
17255,16961,LyricistOf
17255,16989,LyricistOf
17255,16999,LyricistOf
17255,17047,LyricistOf
17255,17048,LyricistOf
17255,17049,LyricistOf
17255,17121,LyricistOf
17255,17231,LyricistOf
17255,17252,LyricistOf
17255,17261,LyricistOf
17255,17262,LyricistOf
17255,17263,LyricistOf
17255,17272,PerformerOf
17255,17272,LyricistOf
17255,17273,PerformerOf
17255,17273,LyricistOf
17255,17274,PerformerOf
17255,17274,LyricistOf
17255,17275,PerformerOf
17255,17275,LyricistOf
17255,17276,PerformerOf
17255,17276,LyricistOf
17255,17277,PerformerOf
17255,17277,LyricistOf
17255,17278,PerformerOf
17255,17278,LyricistOf
17255,17279,PerformerOf
17255,17280,PerformerOf
17255,17281,PerformerOf
17255,17282,PerformerOf
17255,17283,PerformerOf
17255,17284,PerformerOf
17255,17285,PerformerOf
17255,17286,PerformerOf
17255,17287,PerformerOf
17255,17288,PerformerOf
17255,17289,PerformerOf
17255,17290,PerformerOf
17255,17291,PerformerOf
17255,17292,PerformerOf
17255,17293,PerformerOf
17255,17294,PerformerOf
17255,17350,LyricistOf
17255,17350,PerformerOf
17255,17356,LyricistOf
17255,17356,PerformerOf
17255,17410,PerformerOf
16999,14893,CoverOf
17049,14107,InStyleOf
17049,7026,InterpolatesFrom
17231,14352,InterpolatesFrom
17231,14296,InStyleOf
17261,2197,DirectlySamples
17261,9223,CoverOf
17273,3881,InStyleOf
17273,9848,CoverOf
17275,16312,CoverOf
17275,15855,InStyleOf
17277,876,LyricalReferenceTo
17277,3986,LyricalReferenceTo
17279,14658,InterpolatesFrom
17280,14933,CoverOf
17280,10534,InStyleOf
17285,8207,InStyleOf
17286,10903,InStyleOf
17287,13589,LyricalReferenceTo
17287,11254,InterpolatesFrom
17289,5574,InStyleOf
17290,12685,InterpolatesFrom
17290,12237,InStyleOf
17292,13014,DirectlySamples
17292,6592,InStyleOf
17350,10016,CoverOf
17255,17260,DirectlySamples
17255,17299,InStyleOf
17255,17327,LyricalReferenceTo
17255,17192,InStyleOf
