Source,Target,EdgeType,Relationship
17255,17164,CollaboratedWith,Collaborator
17255,17165,CollaboratedWith,Collaborator
17255,17166,CollaboratedWith,Collaborator
17255,17296,CollaboratedWith,Collaborator
17255,17041,CollaboratedWith,Collaborator
17255,17042,CollaboratedWith,Collaborator
17255,17043,CollaboratedWith,Collaborator
17255,17044,CollaboratedWith,Collaborator
17255,17045,CollaboratedWith,Collaborator
17255,17046,CollaboratedWith,Collaborator
17255,17309,CollaboratedWith,Collaborator
17255,17310,CollaboratedWith,Collaborator
17255,17311,CollaboratedWith,Collaborator
17255,17189,CollaboratedWith,Collaborator
17255,17190,CollaboratedWith,Collaborator
17255,17191,CollaboratedWith,Collaborator
17255,17205,CollaboratedWith,Collaborator
17255,17206,CollaboratedWith,Collaborator
17255,16958,CollaboratedWith,Collaborator
17255,16959,CollaboratedWith,Collaborator
17255,16960,CollaboratedWith,Collaborator
17255,17349,CollaboratedWith,Collaborator
17255,17226,CollaboratedWith,Collaborator
17255,17227,CollaboratedWith,Collaborator
17255,17228,CollaboratedWith,Collaborator
17255,17229,CollaboratedWith,Collaborator
17255,17230,CollaboratedWith,Collaborator
17255,17355,CollaboratedWith,Collaborator
17255,16983,CollaboratedWith,Collaborator
17255,16984,CollaboratedWith,Collaborator
17255,16985,CollaboratedWith,Collaborator
17255,16986,CollaboratedWith,Collaborator
17255,16987,CollaboratedWith,Collaborator
17255,17118,CollaboratedWith,Collaborator
17255,17119,CollaboratedWith,Collaborator
17255,17120,CollaboratedWith,Collaborator
17255,16993,CollaboratedWith,Collaborator
17255,16994,CollaboratedWith,Collaborator
17255,16995,CollaboratedWith,Collaborator
17255,16996,CollaboratedWith,Collaborator
17255,17248,CollaboratedWith,Collaborator
17255,17249,CollaboratedWith,Collaborator
17255,17250,CollaboratedWith,Collaborator
17255,17256,CollaboratedWith,Collaborator
17255,17257,CollaboratedWith,Collaborator
17255,17258,CollaboratedWith,Collaborator
17255,17259,CollaboratedWith,Collaborator
17255,17260,CollaboratedWith,Collaborator
17155,17255,InterpolatesFrom,DirectlyInfluenced
17126,17255,LyricalReferenceTo,DirectlyInfluenced
17063,17255,InterpolatesFrom,DirectlyInfluenced
17032,17255,LyricalReferenceTo,DirectlyInfluenced
17361,17255,DirectlySamples,DirectlyInfluenced
17110,17255,InStyleOf,DirectlyInfluenced
17022,17255,InStyleOf,DirectlyInfluenced
17255,17408,IndirectlyInfluenced,IndirectlyInfluenced
17255,17402,IndirectlyInfluenced,IndirectlyInfluenced
17255,17406,IndirectlyInfluenced,IndirectlyInfluenced
17255,17407,IndirectlyInfluenced,IndirectlyInfluenced
