Type,Source,Target,key
LyricistOf,17255,16961,0
LyricistOf,17255,16989,0
LyricistOf,17255,16999,0
LyricistOf,17255,17047,0
LyricistOf,17255,17048,0
LyricistOf,17255,17049,0
LyricistOf,17255,17121,0
LyricistOf,17255,17231,0
LyricistOf,17255,17252,0
LyricistOf,17255,17261,0
LyricistOf,17255,17262,0
LyricistOf,17255,17263,0
PerformerOf,17255,17272,0
LyricistOf,17255,17272,1
PerformerOf,17255,17273,0
LyricistOf,17255,17273,1
PerformerOf,17255,17274,0
LyricistOf,17255,17274,1
PerformerOf,17255,17275,0
LyricistOf,17255,17275,1
PerformerOf,17255,17276,0
LyricistOf,17255,17276,1
PerformerOf,17255,17277,0
LyricistOf,17255,17277,1
PerformerOf,17255,17278,0
LyricistOf,17255,17278,1
PerformerOf,17255,17279,0
PerformerOf,17255,17280,0
PerformerOf,17255,17281,0
PerformerOf,17255,17282,0
PerformerOf,17255,17283,0
PerformerOf,17255,17284,0
PerformerOf,17255,17285,0
PerformerOf,17255,17286,0
PerformerOf,17255,17287,0
PerformerOf,17255,17288,0
PerformerOf,17255,17289,0
PerformerOf,17255,17290,0
PerformerOf,17255,17291,0
PerformerOf,17255,17292,0
PerformerOf,17255,17293,0
PerformerOf,17255,17294,0
LyricistOf,17255,17350,0
PerformerOf,17255,17350,1
LyricistOf,17255,17356,0
PerformerOf,17255,17356,1
PerformerOf,17255,17410,0
LyricistOf,16958,16961,0
ComposerOf,16959,16961,0
PerformerOf,16960,16961,0
ComposerOf,16983,16989,0
LyricistOf,16984,16989,0
LyricistOf,16985,16989,0
ComposerOf,16986,16989,0
PerformerOf,16987,16989,0
ComposerOf,16993,16999,0
ComposerOf,16994,16999,0
ComposerOf,16995,16999,0
PerformerOf,16996,16999,0
LyricistOf,17041,17047,0
LyricistOf,17041,17048,0
LyricistOf,17041,17049,0
ComposerOf,17042,17047,0
ComposerOf,17042,17048,0
ComposerOf,17042,17049,0
ComposerOf,17043,17047,0
ComposerOf,17043,17048,0
ComposerOf,17043,17049,0
ComposerOf,17044,17047,0
ComposerOf,17044,17048,0
ComposerOf,17044,17049,0
ComposerOf,17045,17047,0
ComposerOf,17045,17048,0
ComposerOf,17045,17049,0
PerformerOf,17046,17047,0
PerformerOf,17046,17048,0
PerformerOf,17046,17049,0
LyricistOf,17118,17121,0
LyricistOf,17119,17121,0
PerformerOf,17120,17121,0
LyricistOf,17164,17261,0
LyricistOf,17164,17263,0
ComposerOf,17165,17261,0
ComposerOf,17166,17261,0
LyricistOf,17189,17275,0
LyricistOf,17189,17277,0
ComposerOf,17190,17275,0
ComposerOf,17191,17275,0
ComposerOf,17191,17277,0
ComposerOf,17205,17272,0
ComposerOf,17206,17272,0
LyricistOf,17226,17231,0
PerformerOf,17226,17410,0
LyricistOf,17227,17231,0
LyricistOf,17228,17231,0
LyricistOf,17229,17231,0
PerformerOf,17230,17231,0
LyricistOf,17248,17252,0
ComposerOf,17249,17252,0
PerformerOf,17250,17252,0
ComposerOf,17256,17121,0
ComposerOf,17256,17261,0
ComposerOf,17256,17262,0
ComposerOf,17256,17263,0
ComposerOf,17257,17261,0
ComposerOf,17257,17262,0
ComposerOf,17257,17263,0
ComposerOf,17258,17261,0
ComposerOf,17258,17262,0
ComposerOf,17258,17263,0
LyricistOf,17259,17261,0
LyricistOf,17259,17262,0
LyricistOf,17259,17263,0
PerformerOf,17260,17261,0
PerformerOf,17260,17262,0
PerformerOf,17260,17263,0
ComposerOf,17296,17276,0
LyricistOf,17309,17276,0
ComposerOf,17310,17278,0
LyricistOf,17311,17278,0
PerformerOf,17349,17350,0
LyricistOf,17349,17350,1
PerformerOf,17349,17350,2
PerformerOf,17355,17356,0
ComposerOf,17355,17356,1
PerformerOf,17355,17356,2
