id,work_name,work_type,genre,release_year,written_year,notoriety_year,notable,single,is_oceanus_folk,performers,composers,lyricists,producers,num_performers,num_composers,num_lyricists,num_producers,recorded_by_labels,distributed_by_labels,num_recorded_by_labels,num_distributed_by_labels,draws_from_count,influenced_others_count
17174,Bones in the Sand,Song,Sea Shanties,1975,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17172,"Heave Away, My Lads",Song,Sea Shanties,1975,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
15877,Psychoanalytic Desire,Song,Synthwave,1975,1975,,True,False,False,Jun Peng; Ming Xie; Ping Jiang; Wei Su; Yang Mo,,,Ming Xie,5,0,0,1,,Neuendettelsau Noise,0,1,0,1
17175,Sing for the Drowned,Song,Sea Shanties,1975,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17168,Tales from the Briny Deep,Album,Sea Shanties,1975,1975,,True,,False,The Salty Wakes,Finn McGraw; William Tidewell,Rusty Riggins,,1,2,1,0,,,0,0,0,0
17173,The Mermaid's Random,Song,Sea Shanties,1975,,,False,True,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17178,Blood in the Brine,Song,Sea Shanties,1977,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17176,"Brass Compass, Broken Oath",Song,Sea Shanties,1977,,,False,True,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17177,Fire in the Hold,Song,Sea Shanties,1977,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17169,Rum & Reckoning,Album,Sea Shanties,1977,1976,,True,,False,The Salty Wakes,Finn McGraw; William Tidewell,Rusty Riggins,,1,2,1,0,,,0,0,0,0
17179,Rum for the Dead,Song,Sea Shanties,1977,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17180,Bound for No Return,Song,Sea Shanties,1979,,,False,True,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
17183,Port Royal Nights,Song,Sea Shanties,1979,,,False,False,False,The Salty Wakes,,,,1,0,0,0,,,0,0,0,0
